,file_name,size,time,peak_spped,valley_speed,mean_speed,peak_area_before,peak_std_area_before,peak_fre_before,peak_area_after,peak_std_area_after,peak_fre_after,valley_area_before,valley_std_area_before,valley_fre_before,valley_area_after,valley_std_area_after,valley_fre_after
0,left_bare_01.hkl,1.01,52.33,47.16,52.17,49.665,94.34,7.92,1744.9492038371022,95.76,3.97,103.95222555586882,6.3,3.97,1190.3784067735216,6.29,3.97,44.886248466295214
1,left_bare_02.hkl,0.89,46.29,58.61,58.71,58.66,92.47,6.17,16960.768123523274,99.25,4.26,225.33698914814968,4.94,4.26,15856.002714787111,5.03,4.26,67.19930704915278
2,left_bare_03.hkl,1.02,55.17,51.84,51.94,51.89,103.72,10.73,21255.0063831237,99.74,5.68,148.87366424097675,5.7,5.68,20010.897902943983,5.39,5.68,58.2107740686613
3,left_bare_04.hkl,0.99,51.5,51.07,52.93,52.0,89.07,5.69,23896.802257939813,96.12,4.37,208.00960701700657,5.6,4.37,21047.27501710423,6.11,4.37,142.7963641492162
4,left_bare_05.hkl,1.15,59.63,48.08,48.87,48.474999999999994,90.37,5.36,17170.62033289793,99.5,4.04,219.98921248564136,5.0,4.04,13391.64293109528,5.48,4.04,142.32248895800188
5,left_bare_06.hkl,1.07,55.82,49.76,45.72,47.739999999999995,91.42,6.9,14186.598136010125,98.43,6.29,149.96305343659023,7.66,6.29,11741.672514477537,7.27,6.29,187.70170047435712
6,left_bare_07.hkl,1.01,51.85,54.61,51.2,52.905,97.16,8.74,24246.1942692619,102.05,5.87,132.99817671158672,7.91,5.87,26947.19961773536,7.18,5.87,137.8310819706289
7,left_bare_08.hkl,0.92,47.19,49.48,52.84,51.16,92.23,4.87,11327.371655174305,98.86,4.47,131.21000230355466,5.56,4.47,10684.096648196492,5.81,4.47,92.53726639968734
8,left_bare_09.hkl,0.74,38.03,54.06,54.62,54.34,89.6,6.87,14204.791097509604,98.83,6.09,137.12410515716678,5.34,6.09,13424.362657540913,5.75,6.09,110.7898540786961
9,left_bare_10.hkl,0.86,43.85,49.09,52.37,50.730000000000004,94.61,7.26,9163.134779513934,102.59,5.83,104.7245838458299,5.32,5.83,8605.20593481864,5.7,5.83,92.70460955616927
10,left_bare_21.hkl,0.91,48.89,56.78,56.05,56.415,30.36,3.38,284231.4679852893,98.03,7.9,172.76624277904455,1.94,7.9,170249.7846761528,4.96,7.9,497.2685771608056
11,left_bare_22.hkl,0.98,52.79,51.55,50.92,51.235,136.4,15.44,34055.94370494469,102.22,7.06,76.4871931941677,10.89,7.06,24706.2535775724,7.21,7.06,87.00455440906359
12,left_bare_23.hkl,0.76,38.63,53.2,54.57,53.885000000000005,19.25,1.83,52915.87798794385,91.02,4.39,57.363231878610144,1.11,4.39,49728.22835622584,4.3,4.39,696.1388366543322
13,left_bare_24.hkl,0.85,43.52,63.05,54.87,58.959999999999994,47.64,4.26,224907.99768167423,100.31,6.05,137.85379214273206,4.72,6.05,180736.05656081237,8.2,6.05,250.0386258071592
14,left_bare_25.hkl,0.69,35.39,54.16,53.74,53.95,19.47,3.84,44159.13190791315,100.23,9.54,60.05003918887206,1.31,9.54,33934.240823746935,6.32,9.54,306.69180315627494
15,left_bare_26.hkl,0.75,39.53,51.98,55.09,53.535,34.91,2.63,86689.9463885829,109.71,6.17,128.23923167056523,2.47,6.17,44509.880513902855,6.15,6.17,276.42398517268333
16,left_bare_27.hkl,0.79,39.67,60.7,62.6,61.650000000000006,36.23,3.59,27511.79569032647,105.66,7.48,74.65157224491789,1.69,7.48,27695.868336512744,4.42,7.48,92.34587925967419
17,left_bare_28.hkl,0.69,36.5,56.44,54.89,55.665,16.82,1.14,53365.518682883056,107.26,5.34,65.77186407920486,1.26,5.34,52297.90003693134,6.76,5.34,120.5537883538352
18,left_bare_29.hkl,0.87,43.92,63.31,61.36,62.335,69.82,6.51,126632.61842551993,116.14,4.55,83.94631829800937,4.44,4.55,147450.0625894039,6.29,4.55,105.68267251917185
19,left_bare_30.hkl,0.7,36.73,57.73,55.22,56.474999999999994,54.16,7.15,204033.17025117754,112.39,6.96,80.07930799543463,4.59,6.96,204927.4678673389,7.92,6.96,126.6677009054211
20,left_1rb_01.hkl,0.84,44.99,49.98,55.0,52.489999999999995,64.94,6.35,42096.611569120454,99.31,8.58,386.8971452528446,13.15,8.58,46188.38381913501,13.77,8.58,654.6304607855211
21,left_1rb_02.hkl,0.94,48.12,56.79,52.59,54.69,73.32,10.21,131721.9048080769,106.95,9.75,350.55804877123353,12.63,9.75,152093.71590798764,13.17,9.75,664.3936580719247
22,left_1rb_03.hkl,0.74,38.83,56.49,49.32,52.905,65.21,7.02,104540.58914283827,98.46,6.19,269.88923388711095,9.94,6.19,111658.37488382055,11.01,6.19,665.7255277705451
23,left_1rb_04.hkl,0.72,37.39,56.26,53.38,54.82,60.64,4.88,86677.34456712483,97.04,6.11,230.39908355920417,9.46,6.11,80435.76150369488,11.1,6.11,762.4236044187952
24,left_1rb_05.hkl,0.7,36.83,56.97,48.44,52.705,60.15,6.07,87259.17610543857,95.19,7.1,595.0341496530563,7.47,7.1,81299.75140490779,8.13,7.1,614.1593615757015
25,left_1rb_06.hkl,0.78,40.72,60.89,44.47,52.68,55.24,10.35,152683.4405404956,94.02,14.26,738.9069221593402,6.22,14.26,91932.12761510795,7.38,14.26,527.4246515433165
26,left_1rb_07.hkl,0.74,39.14,51.88,41.69,46.785,51.17,10.8,147243.9192473951,89.25,15.15,736.7953991400125,3.02,15.15,108288.74228606292,3.88,15.15,498.32161339306623
